title,artist,rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics,id
Hasarder,Lomepal,60,0.77,0.649,1,-8.011,0,0.0865,0.282,0.0,0.117,0.181,91.046,178867,4,"[Paroles de ""Hasarder""] [Intro] Le cœur est calé Mais remets-en quand même encore un- T'es l'amour de ma vie mais c'est pas ma seule vie je t'aime comme un espion Tu sais pas encaisser moi je sais pas mentir me pose pas de questions Moins tu dors moins t'arrives à dormir jette un Alprazolam dans ton infusion Y a pas de problèmes y a qu'des solutions [Couplet 1] Cette vie est horriblement belle profitons avant d'finir dans le cahier de Light Tes amis n'avancent pas assez vite la peur et le doute vont les prendre en tenaille On se balade puis on se perd dans une forêt de sequoias Oh tout est foutu mais le déni a un goût de goyave [Refrain] Hasarder J'sais rien faire de mieux Me dis pas que tout est possible J'sais même pas ce que je veux Le cœur est calé La tête est calée Le cœur est calé Mais remets-en quand même encore un Peu Peu [Couplet 2] Trop belle comme une briseuse de cœur faut beaucoup de courage pour aller lui parler Mais tu vas quand même lui dire plus de fois le mot ""Love"" qu'un disque de Marley Elle savait déjà qui t'étais pourquoi te jeter sur son pare-brise ? Oh  chacun sa vérité chacun son prisme Ah ouais j'suis pas content ce soir pour l'même verre de poison j'ai du payer doublement Mais tu comprends bien qu'ça n'a aucun putain d'sens de se redire adieu tous les mois Loin d'être en danger le danger c'est moi Le temps m'a bien changé la richesse moins [Refrain] Hasarder J'sais rien faire de mieux Me dis pas que tout est possible J'sais même pas ce que je veux Le cœur est calé La tête est calée Le cœur est calé Mais remets-en quand même encore un peu",6V40xLcDlYwZpz3oKIVNhL
Selfie,Werenoi,61,0.715,0.776,4,-5.626,0,0.291,0.646,0.0,0.143,0.559,152.946,156863,4,"[Paroles de ""Selfie"" ft. Maes] [Couplet 1 : Maes] J'ouvre à 11.45 toujours 11.43 à côté On vise la carotide c'est pas nous qui faut carotter Confonds pas la rue et l'trottoir y a qu'des criminels Des shooters des voleurs que j'côtoie j'vais péter la go AMG j'suis fonce-dé sous beuh incessamment sous peu Faut rentrer plusieurs millions d'eu' J'ressors du labo avec six balles en rouge et bleu C'est c'qu'a fait partir bosseur entre midi et deux [Pré-refrain : Maes] J'compte les billets après minuit c'est moi qui paye J'dois mettre bien ma famille vingt-sept balais j'prends d'la bouteille Que des langues de salope aucun bonhomme que ça bégaye J'ai flow autotuné mais ça t'allume j'suis pas T-Pain (J'suis pas T-Pain oh-oh-oh) [Refrain : Werenoi &  Maes ] Regarde cette vie prends un selfie  (Oh-oh) Une sale routine comme les Batman  (Oh-oh-oh)  j'tourne que la nuit j'tourne que la nuit  (Oh-oh) Dans Paris j'ai plein d'amis  (Oh-oh-oh) Quand tu nous croises j'fais pas l'nerveux  (Oh-oh)  nous on fait la pluie prends ton selfie  (Oh-oh-oh) Regarde cette vie prends un selfie Une sale routine comme les Batman j'tourne que la nuit j'tourne que la nuit Dans Paris j'ai plein d'amis Quand tu nous croises j'fais pas l'nerveux nous on fait la pluie prends ton selfie [Couplet 2 : Werenoi] J'tire une taffe j'perds un kil' j'les vois partir en fumée Location d'63 j'mets les pieds dans la fusée Mes ennemis j'les embrasse (Oh) on n'a pas vu le temps passer Être pauvre et heureux autant brasser (Oh) j'ai des frères sous Jack ou sous bracelet Jusqu'à quand ça va durer ? (Oh) Le ciel devient noir obligés d's'allumer J'parle pas d'chalumeau (Nan) d'la coke comme à Rio il en faut peu pour caner comme 'cario Le nerf de la guerre c'est le biff (Biff) cache le produit quand ça siffle (Wow) La crosse fera monnaie de la gifle (Gifle) t'sais pas c'que j'peux faire pour dix feuilles (Grr)",7pZayfJlwlHulmzt0xUN9m
Vamos,Naps,62,0.814,0.817,11,-5.456,0,0.206,0.203,0.0,0.152,0.768,139.955,241160,4,"[Paroles de ""Vamos"" ft. Gazo] [Intro : Naps &  Gazo ] Wysko beats Okay okay Skary s'occupe du BPM! On t'avait dit de pas faire le con  mais ils ont pas écouté Vamos à la playa Okay Capucha gamos teinté C'est le G Sors l'AK cuatro-siete (Grr) Au tel-hô pas pour siester La mala est gangx [Couplet 1 : Gazo &  Naps ] J'm'allume au filtré lean sprite ( Ouh ) j'ai de la beuh j'ai te-shi wax (J'ai wax) J'dois brasser comme un nois-chi tous les jours faut qu'je brasse un max' (Tous les jours unh unh) Tous les jours te-shi masse on tasse codé' j'ai reçu big bags ( Okay ) Nan touche pas toutes les chattes à éviter celles qui (Celles qui unh unh) Chérie remballe tes fesses plates ( Ah-ah-ah ) Eh j'pensais qu'j'allais être à terre à vie (Jamais) mais quand tu perces on t'appelle : ""Sahbi"" Ils sont pas assez durcis m'envient (Non) S'tu voyais tout t'aurais des idées zarres-bi [Refrain : Gazo &  ensemble ] Vamos à la playa sous filtré j'suis sous baïda Capucha gamos teinté dans la calle la rouda Sors l'AK cuatro-siete qu'on pull up sur ces putas (Grr) Au tel-hô pas pour siester j'la tape comme une piñata (Hey hey hey) Vamos à la playa sous filtré j'suis sous baïda Capucha gamos teinté dans la calle la rouda Sors l'AK cuatro-siete qu'on pull up sur ces putas Au tel-hô pas pour siester j'la tape comme une piñata [Post-refrain : Gazo] En vrai j'm'en tape (Tu nous calculais pas d'toute façon) Tant qu'j'fais mes talles (J'ai jeté l'appât et elle mord à l'hameçon) C'est chaud dans l'bât' (Parano j'ai la main dans le caleçon) T'es vrai mais tailles Paris-Marseille on arrive à deux-cent (Hey hey hey nion vroum)",5QowMIujytktMDC8pktNXH
Talent,Raplume,63,0.767,0.77,11,-5.124,0,0.465,0.413,0.0,0.18,0.638,143.741,181153,4,"[Paroles de ""Talent""] [Intro] Uh uh (Uh uh) C'est gang (Gang gang) Coupe (Coupe) Assassin [Refrain] Jeune shooter gun dans le pantalon on dit qu’il a l'talent pour a-ç (Uh uh) Il-il-il a l'talent pour a-ç on dit qu’il a l'talent pour a-ç (Pah pah) Y'a pas d'papa maman ou de conscience on dit qu'il a l'talent pour a-ç (Uh uh) On dit qu'il a l'talent pour a-ç (Mmh) il a l’talent pour a-ç (Pah) Vingt-cinq billets d’mille en cash une balle à lui tu parles pas d'âge (Oseille) Un bras conservé dans la glace y’a pas d'trace il a l'talent pour a-ç (Dead) À quinze ans sa première fois les grands disent qu'il a l’talent pour a-ç (Uh uh) Première fois qu'il r'ssent son cœur battre (Uh) et premièrе fois qu'il fait péter un crâne (Pah) [Couplet 1] Il marche dans la night sous Madamе Courage  il a les couilles pour a-ç Le marmaille il a même pas d'barbe une Kalash' il a l'oseille pour a-ç (Allez viens) Il dit qu'le ciel l'a oublié comme si il voulait qu'il le rattrape (Uh) Qu'il lui empêche de refaire à-ç mais il a l'talent pour a-ç Ils sont venus à quatre ce soir mais Dieu sait qu'ils rentrent à trois Il plante la gorge d'un lascar qui vient pour faire la loi (Shling sling) La vie n'a pas d' la vie n'a pas d'valeur pour lui  le petit il vient d'la DDASS S'il en plante un ça f'ra d'la place et il a l'talent pour a-ç Tu verrais comment il brasse son sourire aux lèvres quand c'est lui qui khalasse (Oseille) Le hasard a fait qu'elle passe donc il a buté la pétasse Va dans l'7-7 pour chercher une dette (Une liasse) va en Allemagne écraser une tête (Une liasse) Spécialiste pour gâcher la fête et ramasser la fraîche (Assassin) [Refrain] Jeune shooter gun dans le pantalon on dit qu'il a l'talent pour a-ç (Uh uh) Il-il-il a l'talent pour a-ç on dit qu'il a l'talent pour a-ç (Pah pah) Y a pas d'papa maman ou de conscience on dit qu'il a l'talent pour a-ç (Uh uh) On dit qu'il a l'talent pour a-ç (Mmh) il a l'talent pour a-ç (Pah) Vingt-cinq billets d'mille en cash une balle à lui tu parles pas d'âge (Oseille) Un bras conservé dans la glace y a pas d'trace il a l'talent pour a-ç (Dead) À quinze ans sa première fois les grands disent qu'il a l'talent pour a-ç (Uh uh) Première fois qu'il r'ssent son cœur battre (Uh) et première fois qu'il fait péter un crâne (Pah) [Couplet 2] Big stress dans une prison d'Seine en boucle dans sa tête sans cesse (Uh uh uh uh) Ça va faire cent fois qu'il r'voit toutes les scènes mais il jure sur sa mère qu'il a kiffé l'faire (Il jure sa mère) Tueur à gages c'est la mort qui t'paye vis pour trouer l'corps qu'on t'prête (Prête bou-boum) Faut qu'ton papa paye ses dettes ça peut débouler pendant la dinette (Pendant la dinette) La cible chiale il a pas lâché d'larme coup d'chatte c'est survie Coup d'shlass c'est survie coup d'shlass c'est survie Coup d'shlass quand la Lune brille fout le corps du mogo dans la turbine Bain d'sang c'est la piscine il faut tout nettoyer dans la cuisine Assassin",1xtIlT3ZRT8mZxhucCyUXk
Bam Bam (feat. Ed Sheeran),Camila Cabello,64,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4,[Verse 1: Camila Cabello] You said you hated the ocean but you're surfin' now I said I'd love you for life but I just sold our house We were kids at the start I guess we're grown-ups now mmm Couldn't ever imagine even havin' doubts But not everything works out no [Pre-Chorus: Camila Cabello] Now I'm out dancin' with strangers You could be casually datin' Damn it's all changin' so fast [Chorus: Camila Cabello] Así e' la vida sí Yeah that's just life baby Yeah love came around and it knocked me down But I'm back on my feet Así e' la vida sí Yeah that's just life baby I was barely standin' but now I'm dancin' He's all over me (Goza) [Post-Chorus: Camila Cabello] Ba-da bam-bam-bam-bam bam-bam Ba-da bam-bam-bam-bam bam-bam Ba-da bam-bam-bam-bam bam-bam Ba-da bam-bam-bam-bam (Así e' la vida) Ba-da bam-bam-bam-bam bam-bam Ba-da bam-bam-bam-bam bam-bam Ba-da bam-bam-bam-bam bam-bam Ba-da bam-bam-bam-bam [Verse 2: Ed Sheeran] It's been a hell of a year thank God we made it out Yeah we were ridin' a wave and trying not to drown And on the surface I held it together But underneath I sorta came unwound Where would I be? You're all that I need My world baby you hold me down You always hold me down,2DB4DdfCFMw1iaR6JaR03a
Θ. Macarena,Damso,65,0.777,0.554,2,-8.179,1,0.0572,0.182,1.7e-06,0.0477,0.27,129.933,206840,4,"[Paroles de ""Θ. Macarena""] [Intro : tag] Double X on the track bitch! [Refrain] Le monde est à nous le monde est à toi et moi Mais p't-être que sans moi le monde s'ra à toi Et p't-être qu'avec lui le monde s'ra à vous et c'est p't-être mieux ainsi Mes sentiments dansent la macarena Donc je me dis qu'si t'es avec lui tu t'sentiras mieux Mais si tu t'sens mieux tu t'souviendras plus de moi Oh la la mon cœur danse la macarena La la la la la la la la la la Oh la la mon cœur danse la macarena La la la la la la la la la la [Couplet 1] Sabrina t'es d'jà trentenaire on s'envoie en l'air mais j'ai qu'la vingtaine donc j'ai qu'ça à faire   me parle pas de mariage J'te fais perdre ton temps   mais qu'est-c'que c'est bon Quand j'p'lote tes implants   j'me sens comme avant comme quand j'en avais rien à battre Je suis jeune j'm'en fous d'l'avenir de c'que notre relation va devenir mais pour lui c'n'est pas le cas il a d'jà un taf Il fait le mec mature   mais tu sais qu'au lit plus que lui j'assure Rappelle-toi quand t'avais des courbatures j't'avais bien niqué ta race Rappelle-toi bien de la suite dans les hôtels et les suites J't'invitais aux soirées VIP à la télé' tu r'gardais mes clips On l'a fait sans autotune sur une prod de Twinsmatic C'est ma manière romantique de dire que j'n'avais pas mis de préservatif [Refrain] Le monde est à nous le monde est à toi et moi Mais p't-être que sans moi le monde s'ra à toi Et p't-être qu'avec lui le monde s'ra à vous et c'est peut-être mieux ainsi Mes sentiments dansent la macarena Donc je me dis qu'si t'es avec lui tu t'sentiras mieux Mais si tu te sens mieux tu t'souviendras plus de moi Oh la la mon cœur danse la macarena La la la la la la la la la la Oh la la mon cœur danse la macarena La la la la la la la la la la [Couplet 2] J'ai fait semblant d'bien aller Quand t'as démarré qu't'es allée chez lui ben nan j'ai rien dit Pourtant j'le savais qu'tu baisais pour t'évader après tout j''tais là qu'pour dépanner J'vais pas trop m'étaler saigner fallait blessé j'l'étais j't'ai remballé tu m'as remplacé tu m'as délaissé Mais comme tout salaud j't'ai téléphoné j't'ai récupéré puis j't'ai fait pleurer parce que j'en ai rien à foutre c'est ça la life (Ouais) Qu'est-c'qu'tu croyais ?   Tu baises avec moi tu baises avec d'autres même si j'fais pareil c'est pas la même chose Ben oui et non moi j'ai b'soin de ma dose ma libido Et casse pas les lles-c' fais pas celle qui réplique   t'façon j'veux plus trop qu'on s'explique P't-être qu'avec lui le monde s'ra à vous et c'est p't-être mieux ainsi Donc je me dis qu'si t'es avec lui tu t'sentiras mieux mais si tu te sens mieux tu te souviendras plus de moi Oh la la (Oui) [Pont] Mon cœur danse la macarena la la la la la la la la la la Oh la la (Oui oui) Mon cœur danse la macarena la la la la la la la la la la [Outro] Oui Dems Oui oui oui oui",2ewjMyCbNv2X1dB2qIDCwD
MOLLY - A COLORS SHOW,Gazo,66,0.787,0.827,1,-6.441,1,0.13,0.476,0.00071,0.135,0.657,145.072,142028,4,To the circle at Bennington a letter from Bear Creek was always a welcome summons to gather and hear of doings very strange to Vermont. And when the tale of the changed babies arrived duly by the post it created a more than usual sensation and was read to a large number of pleased and scandalized neighbors. “I hate her to be where such things can happen” said Mrs. Wood. “I wish I could have been there” said her son-in-law Andrew Bell. “She does not mention who played the trick” said Mrs. Andrew Bell. “We shouldn't be any wiser if she did” said Mrs. Wood. “I'd like to meet the perpetrator” said Andrew. “Oh no!” said Mrs. Wood. “They're all horrible.” And she wrote at once begging her daughter to take good care of herself and to see as much of Mrs. Balaam as possible. “And of any other ladies that are near you. For you seem to me to be in a community of roughs. I wish you would give it all up. Did you expect me to laugh about the babies?” Mrs. Flynt when this story was repeated to her (she had not been invited in to hear the letter) remarked that she had always felt that Molly Wood must be a little vulgar ever since she began to go about giving music lessons like any ordinary German. But Mrs. Wood was considerably relieved when the next letter arrived. It contained nothing horrible about barbecues or babies. It mentioned the great beauty of the weather and how well and strong the fine air was making the writer feel. And it asked that books might be sent many books of all sorts novels poetry all the good old books and any good new ones that could be spared. Cheap editions of course. “Indeed she shall have them!” said Mrs. Wood. “How her mind must be starving in that dreadful place!” The letter was not a long one and besides the books spoke of little else except the fine weather and the chances for outdoor exercise that this gave. “You have no idea” it said “how delightful it is to ride especially on a spirited horse which I can do now quite well.” “How nice that is!” said Mrs. Wood putting down the letter. “I hope the horse is not too spirited.” “Who does she go riding with?” asked Mrs. Bell. “She doesn't say Sarah. Why?” “Nothing. She has a queer way of not mentioning things now and then.” “Sarah!” exclaimed Mrs. Wood reproachfully. “Oh well mother you know just as well as I do that she can be very independent and unconventional.” “Yes; but not in that way. She wouldn't ride with poor Sam Bannett and after all he is a suitable person.” Nevertheless in her next letter Mrs. Wood cautioned her daughter about trusting herself with any one of whom Mrs. Balaam did not thoroughly approve. The good lady could never grasp that Mrs. Balaam lived a long day's journey from Bear Creek and that Molly saw her about once every three months. “We have sent your books” the mother wrote; “everybody has contributed from their store—Shakespeare Tennyson Browning Longfellow; and a number of novels by Scott Thackeray George Eliot Hawthorne and lesser writers; some volumes of Emerson; and Jane Austen complete because you admire her so particularly.” This consignment of literature reached Bear Creek about a week before Christmas time. By New Year's Day the Virginian had begun his education.,6KNw3UKRp3QRsO7Cf4ASVE
Allez dehors,Fresh,67,0.699,0.848,7,-5.331,1,0.431,0.407,2.49e-05,0.114,0.754,139.825,166747,4,"[Paroles de ""Allez dehors"" ft. Niska] [Intro : Niska &  Fresh ] Wouh de la B Scar Fresh La Peugeuf Fresh La Peugeuf Nardey c'est chaud ça ah-ah Eh-eh Quel bail Zone quatre Wouh Eh eh [Couplet 1 : Fresh &  Niska ] J'ramène un flow qui te ramène à Dallas  c'est quatre triple zéros qui s'déplace sur Paname Rien n'a changé ça tourne quand j'suis pas là c'est la même même mais y a plus de carats Personne va dire qu'on est rentrés sans ticket personne va dire qu'on parlait chez les chickens Ça fait un bail qu'j'ai Benz automatique Gucci Prada sur lе col sur l'étiquette (Eh-eh) Coupе le son cata j'file au tel-hô car j'dois capter ma catin Au collège j'écoutais pas trop l'éducateur pourtant à la maison j'ai bonne éducation ( Bonne éducation bonne éducation ) Oui mon négro j'ai bonne réputation dehors c'est bre-som petit fais attention Très mal entouré ça sort pas sous potion Peufra [Pré-refrain : Fresh &  Niska ] J'ai préféré m'casser ( Pourquoi ? ) Ça s'est pas bien passé ( Ah bon ? ) Il a fallu s'fâcher ( Mais non ) pourtant j'lui fais pas cher ( Bou-bou-bou-boum ) J'ai préféré m'casser ( Oh oui ) ça s'est pas bien passé ( Tu dis ? ) Il a fallu s'fâcher ( Quoi ? ) Je l'ai foutu dehors ( Bou-bou-bou-boum )",2YGtFjsTpSrsGb2rQy4ARj
MIDDLE OF THE NIGHT,Elley Duhé,68,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448,3,[Verse 1] I summoned you please come to me Don't bury thoughts that you really want I fill you up drink from my cup Within me lies what you really want [Pre-Chorus] Come lay me down 'Cause you know this 'Cause you know this sound [Chorus] In the middle of the night In the middle of the night Just call my name I'm yours to tame In the middle of the night In the middle of the night I'm wide awake I crave your taste all night long 'Til morning comes I'm getting what is mine You gon' get yours oh no ooh In the middle of the night In the middle of the night oh [Verse 2] These burning flames these crashing waves Wash over me like a hurricane I captivate you're hypnotized Feel powerful but it's me again [Pre-Chorus] Come lay me down 'Cause I know this 'Cause I know this sound,58HvfVOeJY7lUuCqF0m3ly
Trop beau,Lomepal,69,0.748,0.66,4,-6.034,0,0.0404,0.295,5.56e-06,0.0883,0.324,123.902,244587,4,"[Paroles de ""Trop beau""] [Couplet 1] J'avais jamais vu de nuit aussi calme hey J'la r'garde enchaîner les cigarettes hey Ses larmes coulent en silence on entend toujours les cigales On se blesserait même avec zéro mot  pourtant aucun mur sur cette terre Ne pourrait étouffer le cri   de nos phéromones on risque pas de tenir longtemps Tu m'as même comparé à Lucifer  maint'nant tu bois et tu veux bien de moi Nan mais j'hallucine hein  je sais déjà c'que la distance entraîne Soit c'est la guerre pendant dix ans sans trêve soit je la quitte en lui disant [Pré-refrain] Garde le sourire plus rien n'est grave Tant qu'il nous reste une seconde de souv'nir dans le crâne Nos deux corps pourraient mourir j'ai déjà fait le deuil Maint'nant pars loin de moi une larme cachée dans l'œil [Refrain] Notre histoire n'aurait jamais pu f‌inir dans le calme et la tendresse Je te déteste comme cette phrase qui dit : ""C'était trop beau pour être vrai"" Je n'avouerai jamais que certaines de mes propres émotions m'ef‌fraient Je te déteste comme cette phrase qui dit : ""C'était trop beau pour être vrai"" [Couplet 2] Bébé serre-moi fort  que  j'oublie qu'c'est le chaos autour c'est le chaos Regarde-nous le destin a pas honte  les dieux n'ont pas honte J'ai tout foiré cette année c'est toujours en chantier   est-c'qu'on peut rev'nir en janvier ? Son regard me traverse le corps comme une longue aiguille on dirait bien qu'on est cuits Nous deux dans la même voiture on fonce vers la mort   on s'déteste tellement qu'on refait l'amour Parce que c'est comme de la drogue   on a d'quoi planer   sur son dos mon torse fait de l'aquaplaning Le problème c'est qu'ça m'rappelle pourquoi je l'aime Je revois le début les premières semaines   on pourrait repartir à zéro Et prendre le premier avion comme dans un f‌ilm de merde mais c'est du délire [Pré-refrain] Garde le sourire plus rien n'est grave Tant qu'il nous reste une seconde de souv'nir dans le crâne Nos deux corps pourraient mourir j'ai déjà fait le deuil Maintenant pars loin de moi une larme cachée dans l'œil",4WB9OeauHXnGOMUK4s80gM
Dans nos blocks,Mig,70,0.711,0.8,3,-5.403,0,0.273,0.335,0.0,0.164,0.825,147.086,156913,4,"[Paroles de ""Dans nos blocks"" ft. Leto] [Intro : MIG &  Leto ] Gang gang gang Putains d'principes Gang hey Capitaine Jackson MIG Brr MIG Moula (MIG Moula) gang Capitaine Jackson MIG Gang gang brr [Couplet 1 : Leto] Mon destin est tracé c'est grâce à Dieu que j'vais t'allumer (Boum boum boum) Capitaine Jackson MIG sur le son faut qu'tu détailles un cent G' (Merci) Rien n'a changé car de l'intérieur j'suis toujours rongé (Non) 11.43 rangé à côté d'ma liasse de ma veste LV (Gucci) Ça pull up comme à Compton y a que dans l'feu d'l'action qu'on frisonne (To-toh) Y a personne qui nous pistonne (Pah) be-her te-shi (Pah) qu'on pochetonne (C'est Mozart) L'instru' est morte par balle j'viens de l'époque où j'vendais des dix balles (Woah) Mieux qu'la flicaille Quechua ou The Northface quand il caille (Caille) [Refrain : Leto  MIG  &  Ensemble ] Han seul Dieu connaît ma destinée Dans nos blocs   j'visser tout l'monde j'ramasse kichta j'fais pas d'ciné' Dans nos blocs  on va pas abdiquer trop impliqués Dans nos blocs   on va pas abdiquer trop impliqués Dans nos blocs  Quechua The Northface  (Grr)  fuck les doubles faces Promenade PCS  (Woah)  j'pense aux frères au shtar  (Merci) Combien t'as coffré (Woah) pour vivre la vie d'César ? (Combien ?) Charbon les quatre saisons  (Han)  mais on rêve d'autre part [Couplet 2 : MIG] Chacun son khedma chacun son boulot boule au ventre avant l'plavon (Toujours) Bédo et zipette prêt pour la livrette suis-je la bonne image pour le p'tit frère ? (Brr) Y a des balles qui s'perdent des stories bizarres (Gang) Rien qu'ça pénave comme des p'tites filles (Pah pah) Rue André Bréchet rue Anne Frank (Gang) ça tire le sac et ça nique la chance (Toujours) Produit du bloc (Grr) trois fois filtré en stock (Pah pah gang) sacoche TN Asics Porsche (Boum boum) Crapuleux on chasse ta porte (Grr) j'prends tout mon courage j'baise ma peur (Pah) J'prends tout mon courage j'baise ma peur j'perds des potes j'perds des opps (Gang gang gang) Toujours la mentale nique les cops (Gang) faut que du papier dans mes poches (Grr)",1nVM3VSyr53sTjrWnwSXWE
Intro,Josman,71,0.755,0.636,8,-6.529,0,0.281,0.324,0.0,0.0717,0.523,144.953,147720,4,"[Paroles de ""Matrix (Intro)""] [Intro] La Matrice est universelle. Elle est omniprésente. Elle est avec nous ici en ce moment même. Tu la vois chaque fois que tu regardes par la fenêtre ou lorsque tu allumes la télévision. Elle est le monde qu’on superpose à ton regard pour t’empêcher de voir la vérité [Couplet 1] Que des futilités Y'a plus d'liquide les poches ont séché Ils vantent leurs péchés mais putain quelle humilité J'éclate un gros zdar et j'me tape des grosses barres Coupe le gâteau qu'on partage des grosses parts J'attends la fin du cauchemar  le diable s'habille en costard J'me gratte pas les ... j'vérifie si j'ai mon pochtard L'avenir appartient à ceux qui se couchent tard Il m'faut une Porsche pour mes vieux Mais j'me réveille les poches vides avec des poches sous les yeux hein Alors j'remplis mes poches mon ventre et mon veau-cer J'le fais pour ceux qui s'sentent concernés Qui savent qu'ils s'font berner qui veulent plus s'consterner Tu fais la pute après tu fais l'agressive (salope) Fais pas la belle si c'est même pas tes vrais cils Tu sais pas t'exprimer tu bégayes quand tu parles ça grésille (Pourquoi tu parles mal enculé ?) J'suis l'maillot jaune 5 étoiles comme le Brésil [Refrain] Ok ok ta vie paraît belle Bienvenue dans la matrice T'es bloqué bloqué tu peux pas t'séparer d'elle Mais sortez de la matrice [Couplet 2] Moi j'paye mes additions j'réduis les addictions Quelle affliction ils sont dans la fiction Et ils sont très bizarres Mais très vite j'ai vu leurs vrais visages dans la vraie vie [Pont 1] Ok ok ta vie paraît belle Mais sortez de la matrice [Couplet 3] Et l'école ment : l'histoire est plus dure que tout c'que j'ai appris (fuck that shit) L'Afrique est en guerre pour la richesse que l'Europe lui a prise (Bande d'enculés) fuck même à l'intérieur le passé laisse des cicatrices Et j'ouvre ma gueule même si ma tête est mise à prix yeah [Pont 2] Ok ok ta vie paraît belle Bienvenue dans la matrice",6qvyN6NTUpdfOJRYjtSSd7
La League,Werenoi,72,0.576,0.672,4,-7.382,0,0.236,0.871,7.48e-05,0.134,0.472,104.198,179573,3,"[Paroles de ""La League""] [Intro] C’est carré C’est carré [Couplet 1] Vingt-quatre carats 24 Magnum vingt-quatre balles mon gros j'te vois égaré 44 Magnum KNE Magnum rafale de plomb on te laisse avec des caries Il faut une Cali il faut une Kala' il faut une 'rari faut pas faire de crari Trois-quatre Lambo' ou le RR schmitts dans le RR nan c'est pas Dubaï c'est que la cité Montreuil-sous-Bois beaucoup de coupables beaucoup de sous boy beaucoup de boy beaux Ça fait beaucoup d'adresses j'tombe comme la coupole RS6 j'fais monter la plus bonne la plus belle Elles aiment trop la vie d'artiste j'les baise j'les jette à la poubelle (poubelle) [Pré-refrain] T’aimes le luxe et les lovés (lovés) j'suis mauvais j'vais rien te donner (te donner) À 200 sur le compteur (compteur) copine j'vais te casser ton cœur (ton cœur) T’aimes le luxe et les lovés (lovés) j'suis mauvais j'vais rien te donner (te donner) À 200 sur le compteur (compteur) tu crois encore qu’on va m'sauver [Refrain] J'sais pas c'que j'vais faire c'week-end (c'week-end) mais y aura des mexicaines J’ai le cœur en céramique j'fais comme si tu m'excitais Du bon shit à la cité (c’est carré) ça bédave comme en Jamaïque Veux-tu rejoindre le gang ? (le gang) Veux-tu rejoindre la league ?(la league) J'sais pas c'que j'vais faire c'week-end (c'week-end) mais y aura des mexicaines J’ai le cœur en céramique j'fais comme si tu m'excitais Du bon shit à la cité (c’est carré) ça bédave comme en Jamaïque Veux-tu rejoindre le gang ? (le gang) Veux-tu rejoindre la league ?(la league) [Couplet 2] Allez rentre dans la cour ou tu préfères esquiver tu préfères le faire ou guetter ce qu’il fait ? Le plus malin c’est pas celui qui l’ouvre (non) c’est celui qui s'tait Celui qui t’achève sur les prix qui roule en Merco dernier cri Qui ravitaille tous les rrains-te qui récupère tous les intérêts Toujours accompagné d'son Beretta il vient du 9-3 pas de Levallois-Perret Il joue d'la guitare pas d’opéra il attend pas les gens pour opérer C’est nous les fauteurs de troubles yah la rue peut te faire des trous Baignant dans ton sang on te laisse te laisse à poil en topless",1WkliDsYrTr7UdNcQVDy2Q
